#KFold Table:
Fold	Train	Validation
1	0.9714141292786194	0.8338122682438625
2	0.964996415364471	0.8714927667025362
3	0.9722899856960933	0.813269034014566
4	0.9871548699152001	0.8150257545873838
5	0.9797968900301841	0.8106315249858842
6	0.9531965072166257	0.8714723782459578
7	0.9764901602734305	0.8021108568767222
8	0.9756446425568164	0.811438725867083
9	0.9728353815246042	0.7888762544233626
10	0.9777734890927222	0.8588302111787026
